ID,Recommend ID,Score,UserNameFrom,UserAgeFrom,UserNameTo,UserAgeTo
0,348,1.57,Kelly Miller,24,Sara Haas,20
0,414,1.168,Kelly Miller,24,Mitchell Spears,19
0,1684,0.87,Kelly Miller,24,Paul Gallagher,19
0,549,0.805,Kelly Miller,24,Marissa Jackson,19
0,428,0.765,Kelly Miller,24,Jeffrey Henderson,25
0,2838,0.726,Kelly Miller,24,Carrie Cooper,22
0,2885,0.726,Kelly Miller,24,Ryan Watkins,18
0,3003,0.726,Kelly Miller,24,Jennifer Stone,19
0,3290,0.726,Kelly Miller,24,Jennifer Stone,19
0,1912,0.607,Kelly Miller,24,Holly White,25
1,80,2.382,Larry Salazar,24,Rhonda Carter,20
1,302,2.339,Larry Salazar,24,Robert Dean,24
1,242,2.335,Larry Salazar,24,Cody Smith,24
1,271,2.108,Larry Salazar,24,Katherine Allen,22
1,130,2.091,Larry Salazar,24,Rachel Cain,23
1,180,2.091,Larry Salazar,24,Kristina Moon,25
1,94,2.016,Larry Salazar,24,Michael Hart,18
1,249,2.016,Larry Salazar,24,David Zuniga,21
1,25,1.958,Larry Salazar,24,Sean Middleton,19
1,26,1.784,Larry Salazar,24,Brenda Rose,22
2,14,2.972,Ryan Norman,19,Christine Hart,18
2,162,2.746,Ryan Norman,19,Todd Ortiz,19
2,214,2.695,Ryan Norman,19,Michael White,23
2,144,2.603,Ryan Norman,19,Kathleen Garcia,18
2,41,2.593,Ryan Norman,19,Elizabeth Henry,20
2,28,2.257,Ryan Norman,19,Debra Russell,24
2,111,1.533,Ryan Norman,19,Samuel Garcia,21
2,17,1.499,Ryan Norman,19,Nicholas Todd,21
2,140,1.499,Ryan Norman,19,Laura Fry,22
2,44,1.193,Ryan Norman,19,Anne Tate,24
3,271,3.629,Sara Berger,23,Katherine Allen,22
3,21,3.314,Sara Berger,23,Carlos Lee,21
3,322,3.314,Sara Berger,23,Angelica Johnson,25
3,239,3.003,Sara Berger,23,Raymond Ross,20
3,56,2.984,Sara Berger,23,Heidi Morales,21
3,252,2.977,Sara Berger,23,Elizabeth Myers,21
3,277,2.935,Sara Berger,23,Phillip Reynolds,18
3,297,2.674,Sara Berger,23,Paul West,21
3,119,2.669,Sara Berger,23,Kimberly Dunn,22
3,186,2.669,Sara Berger,23,Laura Friedman,18
4,339,0.792,John Sherman,20,Dalton Flores,21
4,1,0.171,John Sherman,20,John Morris,25
4,2,0.171,John Sherman,20,Christine Hart,18
4,3,0.171,John Sherman,20,Catherine Alvarez,21
4,5,0.171,John Sherman,20,Brandon Herman,23
4,6,0.171,John Sherman,20,Mark Mitchell,22
4,7,0.171,John Sherman,20,Hannah Johnson,20
4,8,0.171,John Sherman,20,Christopher Powell,24
4,9,0.171,John Sherman,20,Danielle Parks,24
4,10,0.171,John Sherman,20,Tiffany Allen,21
5,136,2.001,Jared Schroeder,25,Ross Carpenter,23
5,67,1.922,Jared Schroeder,25,Emily Jones,25
5,322,1.909,Jared Schroeder,25,Angelica Johnson,25
5,242,1.773,Jared Schroeder,25,Cody Smith,24
5,80,1.71,Jared Schroeder,25,Rhonda Carter,20
5,249,1.71,Jared Schroeder,25,David Zuniga,21
5,291,1.668,Jared Schroeder,25,Robert Dean,24
5,21,1.557,Jared Schroeder,25,Carlos Lee,21
5,277,1.532,Jared Schroeder,25,Phillip Reynolds,18
5,94,1.437,Jared Schroeder,25,Michael Hart,18
6,327,1.691,Gina Olsen,18,Kelly Miller,24
6,19,1.133,Gina Olsen,18,Debra Russell,24
6,154,0.729,Gina Olsen,18,Jillian Williams,23
6,1,0.171,Gina Olsen,18,John Morris,25
6,2,0.171,Gina Olsen,18,Christine Hart,18
6,3,0.171,Gina Olsen,18,Catherine Alvarez,21
6,4,0.171,Gina Olsen,18,Joshua Benjamin,19
6,5,0.171,Gina Olsen,18,Brandon Herman,23
6,7,0.171,Gina Olsen,18,Hannah Johnson,20
6,8,0.171,Gina Olsen,18,Christopher Powell,24
7,277,3.226,Paul Ruiz,21,Phillip Reynolds,18
7,252,2.579,Paul Ruiz,21,Elizabeth Myers,21
7,158,2.319,Paul Ruiz,21,Sheena Blackburn,25
7,25,2.145,Paul Ruiz,21,Sean Middleton,19
7,324,2.122,Paul Ruiz,21,Amy Marquez,25
7,285,2.12,Paul Ruiz,21,Gerald Davis,21
7,56,2.02,Paul Ruiz,21,Heidi Morales,21
7,67,2.014,Paul Ruiz,21,Emily Jones,25
7,161,1.935,Paul Ruiz,21,David Nelson,23
7,21,1.741,Paul Ruiz,21,Carlos Lee,21
8,23,0.792,Paul Moore,22,Carlos Bradley,23
8,61,0.792,Paul Moore,22,Michelle Jones,25
8,1,0.171,Paul Moore,22,John Morris,25
8,2,0.171,Paul Moore,22,Christine Hart,18
8,3,0.171,Paul Moore,22,Catherine Alvarez,21
8,4,0.171,Paul Moore,22,Joshua Benjamin,19
8,5,0.171,Paul Moore,22,Brandon Herman,23
8,6,0.171,Paul Moore,22,Mark Mitchell,22
8,7,0.171,Paul Moore,22,Hannah Johnson,20
8,9,0.171,Paul Moore,22,Danielle Parks,24
9,239,9.217,Catherine Alvarez,21,Raymond Ross,20
9,98,7.589,Catherine Alvarez,21,Eric Gonzales,20
9,40,7.507,Catherine Alvarez,21,John Ramirez,24
9,236,6.91,Catherine Alvarez,21,Miranda May,23
9,332,6.086,Catherine Alvarez,21,Kelly Miller,24
9,109,5.698,Catherine Alvarez,21,Jacqueline Perry,24
9,104,5.095,Catherine Alvarez,21,Crystal Barnett,25
9,62,4.92,Catherine Alvarez,21,Tiffany Allen,21
9,325,4.674,Catherine Alvarez,21,Marcus Pennington,24
9,172,4.509,Catherine Alvarez,21,David Nelson,23
10,26,2.507,John Miller,22,Brenda Rose,22
10,56,2.507,John Miller,22,Heidi Morales,21
10,271,2.507,John Miller,22,Katherine Allen,22
10,280,2.247,John Miller,22,Dorothy Rivera,25
10,9,2.241,John Miller,22,Danielle Parks,24
10,25,2.241,John Miller,22,Sean Middleton,19
10,252,2.234,John Miller,22,Elizabeth Myers,21
10,109,2.228,John Miller,22,Jacqueline Perry,24
10,122,2.228,John Miller,22,Mary Larson,22
10,315,1.994,John Miller,22,Paul West,21
11,1,0.171,Emily Romero,20,John Morris,25
11,2,0.171,Emily Romero,20,Christine Hart,18
11,3,0.171,Emily Romero,20,Catherine Alvarez,21
11,4,0.171,Emily Romero,20,Joshua Benjamin,19
11,5,0.171,Emily Romero,20,Brandon Herman,23
11,6,0.171,Emily Romero,20,Mark Mitchell,22
11,7,0.171,Emily Romero,20,Hannah Johnson,20
11,8,0.171,Emily Romero,20,Christopher Powell,24
11,9,0.171,Emily Romero,20,Danielle Parks,24
11,10,0.171,Emily Romero,20,Tiffany Allen,21
12,1,0.171,Andrew Roberts,22,John Morris,25
12,2,0.171,Andrew Roberts,22,Christine Hart,18
12,3,0.171,Andrew Roberts,22,Catherine Alvarez,21
12,4,0.171,Andrew Roberts,22,Joshua Benjamin,19
12,5,0.171,Andrew Roberts,22,Brandon Herman,23
12,6,0.171,Andrew Roberts,22,Mark Mitchell,22
12,7,0.171,Andrew Roberts,22,Hannah Johnson,20
12,8,0.171,Andrew Roberts,22,Christopher Powell,24
12,9,0.171,Andrew Roberts,22,Danielle Parks,24
12,10,0.171,Andrew Roberts,22,Tiffany Allen,21
13,203,7.279,Sarah Oconnor,22,Heather Craig,22
13,200,5.007,Sarah Oconnor,22,Jose Ortiz,24
13,113,4.804,Sarah Oconnor,22,Lisa Mills,25
13,170,4.78,Sarah Oconnor,22,Ryan George,23
13,122,4.724,Sarah Oconnor,22,Mary Larson,22
13,25,4.635,Sarah Oconnor,22,Sean Middleton,19
13,285,4.505,Sarah Oconnor,22,Gerald Davis,21
13,186,4.31,Sarah Oconnor,22,Laura Friedman,18
13,315,3.996,Sarah Oconnor,22,Paul West,21
13,322,3.949,Sarah Oconnor,22,Angelica Johnson,25
14,2,2.972,Bradley Levy,23,Christine Hart,18
14,17,2.926,Bradley Levy,23,Nicholas Todd,21
14,140,2.926,Bradley Levy,23,Laura Fry,22
14,111,2.59,Bradley Levy,23,Samuel Garcia,21
14,162,2.265,Bradley Levy,23,Todd Ortiz,19
14,137,2.203,Bradley Levy,23,Bryan Ellison II,23
14,333,1.997,Bradley Levy,23,Jon Gallegos,19
14,19,1.82,Bradley Levy,23,Debra Russell,24
14,44,1.508,Bradley Levy,23,Anne Tate,24
14,243,1.182,Bradley Levy,23,Marissa Roberts,23
15,1,0.171,Courtney Walton MD,20,John Morris,25
15,2,0.171,Courtney Walton MD,20,Christine Hart,18
15,3,0.171,Courtney Walton MD,20,Catherine Alvarez,21
15,4,0.171,Courtney Walton MD,20,Joshua Benjamin,19
15,5,0.171,Courtney Walton MD,20,Brandon Herman,23
15,6,0.171,Courtney Walton MD,20,Mark Mitchell,22
15,7,0.171,Courtney Walton MD,20,Hannah Johnson,20
15,8,0.171,Courtney Walton MD,20,Christopher Powell,24
15,9,0.171,Courtney Walton MD,20,Danielle Parks,24
15,10,0.171,Courtney Walton MD,20,Tiffany Allen,21
16,203,2.267,Lauren Poole,22,Heather Craig,22
16,211,2.001,Lauren Poole,22,Brandon Phillips,23
16,252,1.934,Lauren Poole,22,Elizabeth Myers,21
16,56,1.877,Lauren Poole,22,Heidi Morales,21
16,98,1.877,Lauren Poole,22,Eric Gonzales,20
16,271,1.877,Lauren Poole,22,Katherine Allen,22
16,231,1.674,Lauren Poole,22,Lauren Long,22
16,119,1.623,Lauren Poole,22,Kimberly Dunn,22
16,13,1.544,Lauren Poole,22,Danielle Parks,24
16,40,1.39,Lauren Poole,22,John Ramirez,24
17,343,3.275,Amanda Dunn,20,Kelly Miller,24
